Date,Open,High,Low,Close,Volume,Adj Close
2016-04-06,1333.849976,1349.02002,1323.550049,1349.02002,000,1349.02002
2016-04-05,1361.859985,1361.859985,1327.439941,1333.849976,000,1333.849976
2016-04-04,1358.219971,1370.430054,1351.069946,1361.859985,77976700,1361.859985
2016-04-01,1360.790039,1360.790039,1343.27002,1358.219971,000,1358.219971
2016-03-31,1375.540039,1375.540039,1362.780029,1365.699951,000,1365.699951
2016-03-30,1348.699951,1383.410034,1348.699951,1376.819946,000,1376.819946
2016-03-29,1346.410034,1358.130005,1339.880005,1348.699951,000,1348.699951
2016-03-24,1365.170044,1365.170044,1345.339966,1345.339966,000,1345.339966
2016-03-23,1382.630005,1382.630005,1362.47998,1368.209961,000,1368.209961
2016-03-22,1376.780029,1382.439941,1354.390015,1382.439941,000,1382.439941
2016-03-21,1389.689941,1391.77002,1374.819946,1377.560059,000,1377.560059
2016-03-18,1391.26001,1393.219971,1371.660034,1391.380005,000,1391.380005
2016-03-17,1393.099976,1404.079956,1362.290039,1390.859985,000,1390.859985
2016-03-16,1404.150024,1412.48999,1386.880005,1393.099976,000,1393.099976
2016-03-15,1424.189941,1424.189941,1403.119995,1403.949951,000,1403.949951
2016-03-14,1419.670044,1431.640015,1415.119995,1424.189941,000,1424.189941
2016-03-11,1392.069946,1419.189941,1392.069946,1418.390015,000,1418.390015
2016-03-10,1398.02002,1423.77002,1385.060059,1385.060059,000,1385.060059
2016-03-09,1390.560059,1402.780029,1385.180054,1398.469971,000,1398.469971
2016-03-08,1396.030029,1399.810059,1385.51001,1390.579956,000,1390.579956
2016-03-07,1403.400024,1403.400024,1387.819946,1397.040039,000,1397.040039
2016-03-04,1389.949951,1409.290039,1389.949951,1403.77002,000,1403.77002
2016-03-03,1385.459961,1394.47998,1384.170044,1389.449951,000,1389.449951
2016-03-02,1392.199951,1401.77002,1373.339966,1383.709961,000,1383.709961
2016-03-01,1372.540039,1392.02002,1356.569946,1391.449951,000,1391.449951
2016-02-29,1370.800049,1374.569946,1345.170044,1372.540039,000,1372.540039
2016-02-26,1363.76001,1378.77002,1363.459961,1370.800049,000,1370.800049
2016-02-25,1328.23999,1360.969971,1328.23999,1360.969971,000,1360.969971
2016-02-24,1366.910034,1368.890015,1324.459961,1327.849976,000,1327.849976
2016-02-23,1385.160034,1385.800049,1366.51001,1366.530029,000,1366.530029
2016-02-22,1357.319946,1385.73999,1357.319946,1385.73999,000,1385.73999
2016-02-19,1363.01001,1370.439941,1349.50,1355.949951,000,1355.949951
2016-02-18,1374.25,1381.530029,1359.829956,1362.97998,000,1362.97998
2016-02-17,1329.72998,1374.25,1329.72998,1374.25,000,1374.25
2016-02-16,1336.170044,1349.869995,1323.589966,1328.140015,000,1328.140015
